route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4450_86094,7778019,H3,Howth Summit - Lower Abbey Street,,3,,,
4450_86095,7778019,N4,Blanchardstown - Point Village,,3,,,
4450_86096,7778019,S2,Sean Moore Road - Heuston Station,,3,,,
4450_86097,7778019,15B,Merrion Square - Stocking Avenue,,3,,,
4450_86098,7778019,15D,Merrion Square - Whitechurch,,3,,,
4450_86099,7778019,15A,Merrion Square - Limekiln Avenue,,3,,,
4450_86100,7778019,720,Watling Street - Heuston Station,,3,,,
4450_86101,7778019,27B,Eden Quay - Harristown,,3,,,
4450_86102,7778019,42D,Portmarnock - DCU,,3,,,
4450_86103,7778019,L25,Dun Laoghaire - Dundrum Town Centre,,3,,,
4450_86104,7778019,L54,River Forest - Red Cow Luas,,3,,,
4450_86105,7778019,L58,River Forest - Castletown - Hazelhatch Stn,,3,,,
4450_86106,7778019,L59,River Forest - Celbridge - Hazelhatch,,3,,,
